"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","14.25","14.70","14.73","13.89","5.08M","-2.73%"
"07/31/2025","14.65","14.83","14.83","14.62","3.99M","-4.56%"
"07/30/2025","15.35","15.78","15.79","15.28","3.42M","-4.67%"
"07/29/2025","16.10","16.25","16.35","16.09","2.11M","-0.51%"
"07/28/2025","16.19","16.33","16.33","16.14","2.34M","-1.87%"
"07/25/2025","16.49","16.50","16.52","16.42","994.13K","-0.89%"
"07/24/2025","16.64","16.85","16.85","16.63","2.42M","-1.43%"
"07/23/2025","16.88","17.04","17.07","16.82","1.82M","-0.56%"
"07/22/2025","16.98","17.00","17.04","16.85","4.00M","4.48%"
"07/21/2025","16.25","16.32","16.33","16.21","1.37M","0.78%"
"07/18/2025","16.13","16.03","16.21","16.02","2.18M","1.68%"
"07/17/2025","15.86","15.73","15.92","15.70","1.79M","1.66%"
"07/16/2025","15.60","15.67","15.68","15.54","2.14M","-1.11%"
"07/15/2025","15.78","15.77","15.83","15.62","2.66M","2.35%"
"07/14/2025","15.41","15.44","15.44","15.33","1.51M","0.71%"
"07/11/2025","15.31","15.32","15.32","15.23","2.03M","0.12%"
"07/10/2025","15.29","15.33","15.33","15.14","2.57M","-1.00%"
"07/09/2025","15.44","15.54","15.58","15.39","3.61M","-1.17%"
"07/08/2025","15.63","15.57","15.66","15.49","2.13M","1.63%"
"07/07/2025","15.38","15.60","15.61","15.37","2.89M","-1.56%"
