"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","302.63","306.21","309.31","297.82","89.12M","-1.83%"
"07/31/2025","308.27","319.61","321.37","306.10","85.27M","-3.38%"
"07/30/2025","319.04","322.18","324.45","311.62","83.93M","-0.67%"
"07/29/2025","321.20","325.55","326.25","318.25","87.36M","-1.35%"
"07/28/2025","325.59","318.45","330.49","315.69","112.67M","3.02%"
"07/25/2025","316.06","308.74","323.63","308.01","148.23M","3.52%"
"07/24/2025","305.30","310.00","310.15","300.41","156.97M","-8.20%"
"07/23/2025","332.56","330.90","336.20","328.67","92.55M","0.14%"
"07/22/2025","332.11","329.74","335.41","321.55","77.37M","1.10%"
"07/21/2025","328.49","334.40","338.00","326.88","75.77M","-0.35%"
"07/18/2025","329.65","321.66","330.90","321.42","94.25M","3.21%"
"07/17/2025","319.41","323.15","324.34","317.06","73.92M","-0.70%"
"07/16/2025","321.67","312.80","323.50","312.62","97.28M","3.50%"
"07/15/2025","310.78","319.67","321.20","310.50","77.56M","-1.93%"
"07/14/2025","316.90","317.73","322.60","312.67","78.04M","1.08%"
"07/11/2025","313.51","307.89","314.09","305.65","79.24M","1.17%"
"07/10/2025","309.87","300.05","310.48","300.00","104.37M","4.73%"
"07/09/2025","295.88","297.55","300.15","293.55","75.59M","-0.65%"
"07/08/2025","297.81","297.00","304.05","294.35","103.25M","1.32%"
"07/07/2025","293.94","291.37","296.15","288.77","131.18M","-6.79%"
