"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","18.05","18.05","18.17","17.81","4.37M","-0.88%"
"07/31/2025","18.21","18.10","18.31","17.98","4.19M","1.00%"
"07/30/2025","18.03","17.96","18.16","17.86","4.43M","-2.01%"
"07/29/2025","18.40","18.95","19.00","18.07","7.83M","-2.85%"
"07/28/2025","18.94","19.06","19.18","18.86","3.22M","-0.16%"
"07/25/2025","18.97","18.86","19.04","18.63","4.38M","-0.84%"
"07/24/2025","19.13","19.22","19.33","18.90","5.78M","1.59%"
"07/23/2025","18.83","19.02","19.42","18.70","6.24M","-0.21%"
"07/22/2025","18.87","18.45","19.10","18.31","9.51M","3.45%"
"07/21/2025","18.24","18.35","18.51","18.15","3.85M","-0.38%"
"07/18/2025","18.31","18.40","18.67","18.26","5.37M","0.49%"
"07/17/2025","18.22","18.00","18.51","18.00","7.58M","1.62%"
"07/16/2025","17.93","17.82","17.97","17.44","4.91M","0.06%"
"07/15/2025","17.92","18.00","18.18","17.67","7.18M","1.59%"
"07/14/2025","17.64","17.50","17.73","17.42","4.54M","1.38%"
"07/11/2025","17.40","17.40","17.75","17.34","6.05M","-0.17%"
"07/10/2025","17.43","17.43","17.48","17.26","5.40M","-1.25%"
"07/09/2025","17.65","17.70","17.73","17.46","5.13M","-1.56%"
"07/08/2025","17.93","18.09","18.10","17.80","4.85M","0.11%"
"07/07/2025","17.91","18.06","18.18","17.85","7.29M","-4.99%"
